GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,Współczynnik sukcesu,Przyznana kwota,Pracownicy naukowi,"Kwota/pracownicy naukowi"
HS1PR,A+,Wydział Prawa i Administracji,Uniwersytet Jagielloński,36,9,25%,1 158 239 zł,"188,33",6 150 zł
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Opolski,5,1,20%,259 209 zł,46,5 635 zł
HS1PR,B,Wydział Prawa Kanonicznego,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",1,1,100%,133 481 zł,25,5 339 zł
HS1PR,A,Wydział Prawa i Administracji,Uniwersytet Gdański,19,5,26%,614 525 zł,119,5 164 zł
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Marii Curie-Skłodowskiej,4,2,50%,527 950 zł,132,4 000 zł
HS1PR,A,Wydział Prawa i Administracji,Uniwersytet Śląski w Katowicach,16,3,19%,240 162 zł,"102,5",2 343 zł
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Łódzki,7,2,29%,390 520 zł,"171,41",2 278 zł
HS1PR,A,Wydział Prawa i Administracji,Uniwersytet im. Adama Mickiewicza w Poznaniu,26,4,15%,256 197 zł,"121,3",2 112 zł
HS1PR,B,"Wydział Prawa, Prawa Kanonicznego i Administracji",Katolicki Uniwersytet Lubelski Jana Pawła II,18,1,6%,180 600 zł,135,1 338 zł
HS1PR,B,Wydział Prawa i Administracji,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",8,1,13%,76 897 zł,99,777 zł
HS1PR,A,Wydział Prawa,Uniwersytet w Białymstoku,24,1,4%,67 600 zł,105,644 zł
HS1PR,B,"Wydział Prawa, Administracji i Ekonomii",Uniwersytet Wrocławski,30,2,7%,109 200 zł,206,530 zł
HS1PR,B,"Wydział Zamiejscowy Nauk Prawnych i Ekonomicznych w Tomaszowie Lubelskim",Katolicki Uniwersytet Lubelski Jana Pawła II,4,0,0%,0 zł,37,0 zł
HS1PR,B,Wydział Prawa i Administracji,Wyższa Szkoła Finansów i Zarządzania w Warszawie,5,0,0%,0 zł,16,0 zł
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Warmińsko-Mazurski w Olsztynie,6,0,0%,0 zł,143,0 zł
HS1PR,B,Wydział Prawa i Administracji,Uczelnia Łazarskiego,10,0,0%,0 zł,"39,5",0 zł
HS1SP,A+,Wydział Zamiejscowy we Wrocławiu,Uniwersytet SWPS,11,6,55%,1 996 569 zł,"30,5",65 461 zł
HS1SP,A,"Instytut Studiów Społecznych im. prof. Roberta B. Zajonca",Uniwersytet Warszawski,17,3,18%,548 256 zł,9,60 917 zł
HS1SP,A,Wydział Psychologii,Uniwersytet SWPS,25,10,40%,3 655 687 zł,73,50 078 zł
HS1SP,A,Ośrodek Badań nad Migracjami,Uniwersytet Warszawski,6,3,50%,443 455 zł,"9,7",45 717 zł
HS1SP,A+,Wydział Psychologii,Uniwersytet Warszawski,31,8,26%,2 067 608 zł,77,26 852 zł
HS1SP,A,Wydział Nauk Politycznych i Dziennikarstwa,Uniwersytet im. Adama Mickiewicza w Poznaniu,36,4,11%,1 543 060 zł,69,22 363 zł
HS1SP,A,Wydział Filozofii i Socjologii,Uniwersytet Warszawski,59,16,27%,3 053 300 zł,137,22 287 zł
HS1SP,A,Wydział Filozoficzny,Uniwersytet Jagielloński,106,20,19%,4 634 932 zł,236,19 640 zł
HS1SP,A,Wydział Nauk Społecznych,Uniwersytet im. Adama Mickiewicza w Poznaniu,52,9,17%,2 964 242 zł,"216,5",13 692 zł
HS1SP,A,Wydział Zarządzania i Komunikacji Społecznej,Uniwersytet Jagielloński,30,6,20%,2 344 380 zł,"183,5",12 776 zł
HS1SP,A,Instytut Ameryk i Europy,Uniwersytet Warszawski,7,1,14%,350 638 zł,39,8 991 zł
HS1SP,B,"Wydział Studiów Międzynarodowych i Politologicznych",Uniwersytet Łódzki,22,3,14%,537 212 zł,62,8 665 zł
HS1SP,A,"Wydział Politologii i Studiów Międzynarodowych",Uniwersytet Mikołaja Kopernika w Toruniu,9,1,11%,401 075 zł,59,6 798 zł
HS1SP,A,Wydział Nauk Społecznych,Katolicki Uniwersytet Lubelski Jana Pawła II,18,2,11%,1 363 340 zł,209,6 523 zł,MNiSW 2014
HS1SP,B,"Wydział Stosowanych Nauk Społecznych i Resocjalizacji",Uniwersytet Warszawski,21,2,10%,601 680 zł,95,6 333 zł,MNiSW 2014
HS1SP,A,Wydział Dziennikarstwa i Nauk Politycznych,Uniwersytet Warszawski,33,6,18%,994 305 zł,189,5 261 zł,MNiSW 2014
HS1SP,B,Wydział Nauk Pedagogicznych,Dolnośląska Szkoła Wyższa,2,1,50%,308 544 zł,"62,25",4 957 zł,MNiSW 2014
HS1SP,B,Wydział Nauk Pedagogicznych,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej",10,1,10%,410 865 zł,139,2 956 zł,MNiSW 2014
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Wrocławski,35,4,11%,550 969 zł,202,2 728 zł,MNiSW 2014
HS1SP,B,Wydział Stosowanych Nauk Społecznych,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej",5,1,20%,238 160 zł,89,2 676 zł,MNiSW 2014
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Gdański,24,1,4%,646 633 zł,256,2 526 zł,MNiSW 2014
HS1SP,B,"Wydział Studiów Międzynarodowych i Politycznych",Uniwersytet Jagielloński,53,4,8%,383 424 zł,"185,83",2 063 zł,MNiSW 2014
HS1SP,B,Wydział Politologii,Uniwersytet Marii Curie-Skłodowskiej,15,2,13%,187 850 zł,93,2 020 zł,MNiSW 2014
HS1SP,A,Wydział Psychologii,Wyższa Szkoła Finansów i Zarządzania w Warszawie,7,1,14%,68 445 zł,37,1 850 zł,MNiSW 2014
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Papieski Jana Pawła II w Krakowie,3,1,33%,60 643 zł,38,1 596 zł,MNiSW 2014
HS1SP,B,Wydział Nauk Historycznych i Społecznych,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",19,2,11%,193 493 zł,148,1 307 zł,MNiSW 2014
HS1SP,B,Wydział Pedagogiki i Psychologii,Uniwersytet Śląski w Katowicach,1,1,100%,174 200 zł,135,1 290 zł,MNiSW 2014
HS1SP,B,Wydział Historyczno-Pedagogiczny,Uniwersytet Opolski,8,1,13%,208 520 zł,167,1 249 zł,MNiSW 2014
HS1SP,B,Wydział Filozofii i Socjologii,Uniwersytet Marii Curie-Skłodowskiej,5,1,20%,84 240 zł,82,1 027 zł,MNiSW 2014
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Śląski w Katowicach,31,1,3%,77 930 zł,166,469 zł,MNiSW 2014
HS1SP,B,Wydział Administracji i Nauk Społecznych,Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie,1,0,0%,0 zł,45,0 zł,MNiSW 2014
HS1SP,B,Wydział Nauk Społecznych i Dziennikarstwa,Dolnośląska Szkoła Wyższa,1,0,0%,0 zł,33,0 zł,MNiSW 2014
HS1SP,B,"Wydział Zamiejscowy Nauk o Społeczeństwie w Stalowej Woli",Katolicki Uniwersytet Lubelski Jana Pawła II,1,0,0%,0 zł,93,0 zł,MNiSW 2014
HS1SP,B,Wydział Politologii,Wyższa Szkoła Finansów i Zarządzania w Warszawie,1,0,0%,0 zł,11,0 zł,MNiSW 2014
HS1SP,B,Wydział Studiów nad Rodziną,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",1,0,0%,0 zł,17,0 zł,MNiSW 2014
HS1SP,B,Centrum Europejskie,Uniwersytet Warszawski,1,0,0%,0 zł,28,0 zł,MNiSW 2014
