GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu","Przyznana kwota","Pracownicy naukowi","Kwota/pracownicy naukowi"
HS1PR,A+,Wydział Prawa i Administracji,Uniwersytet Jagielloński,44,14,32%,1 976 226 zł,"188,33",10 493 zł
HS1PR,A,Wydział Prawa i Administracji,Uniwersytet im. Adama Mickiewicza w Poznaniu,26,8,31%,1 025 312 zł,"121,3",8 453 zł
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Łódzki,12,7,58%,811 200 zł,"171,41",4 733 zł
HS1PR,A,Wydział Prawa i Administracji,Uniwersytet Gdański,8,2,25%,429 900 zł,119,3 613 zł
HS1PR,A,Wydział Prawa i Administracji,Uniwersytet Warszawski,15,3,20%,552 034 zł,162,3 408 zł
HS1PR,B,"Wydział Prawa, Administracji i Stosunków Międzynarodowych","Krakowska Akademia im. Andrzeja Frycza Modrzewskiego",6,1,17%,177 875 zł,76,2 340 zł
HS1PR,A,Wydział Prawa i Administracji,Uniwersytet Śląski w Katowicach,4,1,25%,186 160 zł,"102,5",1 816 zł
HS1PR,B,"Wydział Prawa, Prawa Kanonicznego i Administracji",Katolicki Uniwersytet Lubelski Jana Pawła II,10,1,10%,239 672 zł,135,1 775 zł
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Warmińsko-Mazurski w Olsztynie,7,1,14%,100 620 zł,143,704 zł
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Opolski,3,0,0%,0 zł,46,0 zł
HS1PR,B,Wydział Prawa Kanonicznego,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",1,0,0%,0 zł,25,0 zł
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Marii Curie-Skłodowskiej,4,0,0%,0 zł,132,0 zł
HS1PR,A,Wydział Prawa,Uniwersytet w Białymstoku,12,0,0%,0 zł,105,0 zł
HS1PR,B,Wydział Prawa i Administracji,Uczelnia Łazarskiego,2,0,0%,0 zł,"39,5",0 zł
HS1PR,B,Wydział Prawa i Administracji,Wyższa Szkoła Finansów i Zarządzania w Warszawie,3,0,0%,0 zł,16,0 zł
HS1PR,B,"Wydział Zamiejscowy Nauk Prawnych i Ekonomicznych w Tomaszowie Lubelskim",Katolicki Uniwersytet Lubelski Jana Pawła II,1,0,0%,0 zł,37,0 zł
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Szczeciński,3,0,0%,0 zł,66,0 zł
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Rzeszowski,1,0,0%,0 zł,85,0 zł
HS1PR,B,Wydział Prawa i Administracji,Wyższa Szkoła Menedżerska w Warszawie,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS2PR,A,"",Instytut Nauk Prawnych PAN,16,9,56%,870 164 zł,63,13 812 zł
HS1SP,A,"Instytut Studiów Społecznych im. prof. Roberta B. Zajonca",Uniwersytet Warszawski,8,4,50%,2 821 452 zł,9,313 495 zł
HS1SP,A,Ośrodek Badań nad Migracjami,Uniwersytet Warszawski,2,2,100%,2 315 566 zł,"9,7",238 718 zł
HS1SP,A,Wydział Filozoficzny,Uniwersytet Jagielloński,94,32,34%,11 207 404 zł,236,47 489 zł
HS1SP,A+,Wydział Psychologii,Uniwersytet Warszawski,16,9,56%,2 925 422 zł,77,37 992 zł
HS1SP,A+,Wydział Zamiejscowy we Wrocławiu,Uniwersytet SWPS,11,3,27%,860 506 zł,"30,5",28 213 zł
HS1SP,A,Instytut Ameryk i Europy,Uniwersytet Warszawski,10,3,30%,772 950 zł,39,19 819 zł
HS1SP,A,Wydział Psychologii,Uniwersytet SWPS,27,9,33%,1 206 284 zł,73,16 524 zł
HS1SP,B,Wydział Stosowanych Nauk Społecznych,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej",9,4,44%,1 442 159 zł,89,16 204 zł
HS1SP,A,Wydział Filozofii i Socjologii,Uniwersytet Warszawski,46,15,33%,2 192 451 zł,137,16 003 zł
HS1SP,B,"Wydział Stosowanych Nauk Społecznych i Resocjalizacji",Uniwersytet Warszawski,13,5,38%,1 425 220 zł,95,15 002 zł
HS1SP,A,Wydział Nauk Politycznych i Dziennikarstwa,Uniwersytet im. Adama Mickiewicza w Poznaniu,21,3,14%,693 920 zł,69,10 057 zł
HS1SP,B,Wydział Nauk Pedagogicznych,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej",7,2,29%,1 142 601 zł,139,8 220 zł
HS1SP,B,Wydział Politologii,Uniwersytet Marii Curie-Skłodowskiej,17,4,24%,719 730 zł,93,7 739 zł
HS1SP,B,Wydział Studiów Międzynarodowych i Politycznych,Uniwersytet Jagielloński,39,8,21%,1 350 950 zł,"185,83",7 270 zł
HS1SP,A,Wydział Nauk Społecznych,Katolicki Uniwersytet Lubelski Jana Pawła II,15,5,33%,1 101 466 zł,209,5 270 zł
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Śląski w Katowicach,31,5,16%,825 669 zł,166,4 974 zł
HS1SP,B,Wydział Administracji i Nauk Społecznych,Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie,3,2,67%,212 030 zł,45,4 712 zł
HS1SP,B,"Wydział Studiów Międzynarodowych i Politologicznych",Uniwersytet Łódzki,7,2,29%,279 096 zł,62,4 502 zł
HS1SP,A,Wydział Dziennikarstwa i Nauk Politycznych,Uniwersytet Warszawski,36,7,19%,842 120 zł,189,4 456 zł
HS1SP,B,Wydział Nauk Społecznych i Dziennikarstwa,Dolnośląska Szkoła Wyższa,3,1,33%,127 120 zł,33,3 852 zł
HS1SP,A,Wydział Zarządzania i Komunikacji Społecznej,Uniwersytet Jagielloński,22,3,14%,686 026 zł,"183,5",3 739 zł
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Wrocławski,35,8,23%,712 425 zł,202,3 527 zł
HS1SP,A,Wydział Psychologii,Wyższa Szkoła Finansów i Zarządzania w Warszawie,13,1,8%,130 400 zł,37,3 524 zł
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Gdański,18,6,33%,693 190 zł,256,2 708 zł
HS1SP,A,Wydział Politologii i Studiów Międzynarodowych,Uniwersytet Mikołaja Kopernika w Toruniu,10,2,20%,128 062 zł,59,2 171 zł
HS1SP,B,Wydział Historyczno-Pedagogiczny,Uniwersytet Opolski,11,2,18%,355 940 zł,167,2 131 zł
