GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu",Przyznana kwota,"Pracownicy naukowi","Kwota/pracownicy naukowi"
HS1SP,B,Wydział Nauk Historycznych i Społecznych,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,13,2,15%,174 200 zł,133,"1 309,77 zł"
HS1SP,B,Wydział Nauk o Wychowaniu,Uniwersytet Łódzki,2,1,50%,127 511 zł,108,"1 180,66 zł"
HS1SP,B,Wydział Pedagogiki i Psychologii,Uniwersytet w Białymstoku,7,1,14%,81 600 zł,84,"971,43 zł"
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Wrocławski,29,3,10%,188 853 zł,200,"944,27 zł"
HS1SP,B,Wydział Pedagogiczny,Akademia Ignatianum w Krakowie,6,1,17%,80 400 zł,101,"796,04 zł"
HS1SP,B,Wydział Nauk Pedagogicznych,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej,8,1,13%,99 000 zł,153,"647,06 zł"
HS1SP,A,"",Collegium Civitas,6,0,0%,0 zł,25,"0,00 zł"
HS1SP,B,Centrum Europejskie,Uniwersytet Warszawski,1,0,0%,0 zł,17,"0,00 zł"
HS1SP,B,Wydział Administracji i Nauk Społecznych,Politechnika Warszawska,3,0,0%,0 zł,60,"0,00 zł"
HS1SP,B,Wydział Administracji i Nauk Społecznych,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,2,0,0%,0 zł,48,"0,00 zł"
HS1SP,B,Wydział Bezpieczeństwa Narodowego,Akademia Obrony Narodowej,2,0,0%,0 zł,102,"0,00 zł"
HS1SP,B,Wydział Dowodzenia i Operacji Morskich,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,2,0,0%,0 zł,32,"0,00 zł"
HS1SP,B,Wydział Etnologii i Nauk o Edukacji w Cieszynie,Uniwersytet Śląski w Katowicach,17,0,0%,0 zł,"72,65","0,00 zł"
HS1SP,B,Wydział Filologiczno-Pedagogiczny,"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu",1,0,0%,0 zł,30,"0,00 zł"
HS1SP,B,Wydział Filozofii i Socjologii,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,4,0,0%,0 zł,73,"0,00 zł"
HS1SP,B,Wydział Historyczno-Pedagogiczny,Uniwersytet Opolski,14,0,0%,0 zł,167,"0,00 zł"
HS1SP,B,Wydział Humanistyczny,Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach,6,0,0%,0 zł,141,"0,00 zł"
