"GWO","kategoria","wydzial","jednostka.gl","zlozone","pozyskane","procent.sukcesu","kwota.calk","liczba.pracownikow","kwota.na.pracownika","dziedzina"
"HS1SP","B","Wydział Nauk Pedagogicznych","Akademia Pedagogiki Specjalnej im. Marii 
Grzegorzewskiej",7,2,0.285714285714286,1142601,139,8220.15107913669,"HS"
"HS1SP","B","Wydział Politologii","Uniwersytet Marii Curie-Skłodowskiej",17,4,0.235294117647059,719730,93,7739.03225806452,"HS"
"HS1SP","B","Wydział Studiów Międzynarodowych i Politycznych","Uniwersytet Jagielloński",39,8,0.205128205128205,1350950,185.83,7269.81649895065,"HS"
"HS1SP","A","Wydział Nauk Społecznych","Katolicki Uniwersytet Lubelski Jana Pawła II",15,5,0.333333333333333,1101466,209,5270.17224880383,"HS"
"HS1SP","B","Wydział Nauk Społecznych","Uniwersytet Śląski w Katowicach",31,5,0.161290322580645,825669,166,4973.90963855422,"HS"
"HS1SP","B","Wydział Administracji i Nauk Społecznych","Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie",3,2,0.666666666666667,212030,45,4711.77777777778,"HS"
"HS1SP","B","Wydział Studiów Międzynarodowych i 
Politologicznych","Uniwersytet Łódzki",7,2,0.285714285714286,279096,62,4501.54838709677,"HS"
"HS1SP","A","Wydział Dziennikarstwa i Nauk Politycznych","Uniwersytet Warszawski",36,7,0.194444444444444,842120,189,4455.66137566138,"HS"
"HS1SP","B","Wydział Nauk Społecznych i Dziennikarstwa","Dolnośląska Szkoła Wyższa",3,1,0.333333333333333,127120,33,3852.12121212121,"HS"
"HS1SP","A","Wydział Zarządzania i Komunikacji Społecznej","Uniwersytet Jagielloński",22,3,0.136363636363636,686026,183.5,3738.56130790191,"HS"
"HS1SP","B","Wydział Nauk Społecznych","Uniwersytet Wrocławski",35,8,0.228571428571429,712425,202,3526.85643564356,"HS"
"HS1SP","A","Wydział Psychologii","Wyższa Szkoła Finansów i Zarządzania w Warszawie",13,1,0.0769230769230769,130400,37,3524.32432432432,"HS"
"HS1SP","B","Wydział Nauk Społecznych","Uniwersytet Gdański",18,6,0.333333333333333,693190,256,2707.7734375,"HS"
"HS1SP","A","Wydział Politologii i Studiów Międzynarodowych","Uniwersytet Mikołaja Kopernika w Toruniu",10,2,0.2,128062,59,2170.54237288136,"HS"
"HS1SP","B","Wydział Historyczno-Pedagogiczny","Uniwersytet Opolski",11,2,0.181818181818182,355940,167,2131.37724550898,"HS"
"HS1SP","B","Wydział Nauk Pedagogicznych","Dolnośląska Szkoła Wyższa",4,1,0.25,90625,62.25,1455.82329317269,"HS"
"HS1SP","B","Wydział Nauk o Bezpieczeństwie","Wyższa Szkoła Oficerska Wojsk Lądowych im. Generała 
Tadeusza Kościuszki we Wrocławiu",2,1,0.5,48000,36,1333.33333333333,"HS"
"HS1SP","A","Wydział Studiów Edukacyjnych","Uniwersytet im. Adama Mickiewicza w Poznaniu",8,1,0.125,162120,123,1318.0487804878,"HS"
"HS1SP","B","Wydział Nauk o Wychowaniu","Uniwersytet Łódzki",6,1,0.166666666666667,96084,111,865.621621621622,"HS"
